0,102
1,111070707070707
2,120141414141414
3,1292121212121207
4,138282828282828
5,147353535353536
6,156424242424242
7,165494949494949
8,174565656565656
9,183636363636364
10,19270707070707
11,201777777777778
12,210848484848484
13,21991919191919
14,228989898989898
15,238060606060605
16,247131313131312
17,256202020202018
18,265272727272727
19,274343434343432
20,28341414141414
21,292484848484847
22,301555555555556
23,31062626262626
24,319696969696967
25,328767676767676
26,33783838383838
27,34690909090909
28,355979797979796
29,365050505050505
30,37412121212121
31,38319191919192
32,39226262626262
33,401333333333326
34,41040404040403
35,419474747474744
36,42854545454545
37,437616161616155
38,44668686868686
39,45575757575757
40,46482828282828
41,473898989898984
42,48296969696969
43,492040404040395
44,50111111111111
45,51018181818181
46,51925252525252
47,528323232323224
48,53739393939393
49,54646464646464
50,55553535353535
51,56460606060605
52,57367676767676
53,58274747474747
54,59181818181818
55,60088888888888
56,60995959595959
57,61903030303029
58,628101010101005
59,63717171717171
60,646242424242416
61,65531313131312
62,664383838383834
63,67345454545454
64,68252525252525
65,69159595959596
66,70066666666666
67,70973737373737
68,71880808080807
69,7278787878788
70,7369494949495
71,7460202020202
72,75509090909091
73,76416161616162
74,77323232323232
75,78230303030303
76,79137373737373
77,80044444444444
78,80951515151516
79,81858585858586
80,82765656565657
81,83672727272727
82,84579797979798
83,85486868686868
84,86393939393939
85,8730101010101
86,8820808080808
87,89115151515152
88,90022222222223
89,90929292929293
90,91836363636364
91,92743434343434
92,93650505050505
93,94557575757575
94,95464646464646
95,96371717171716
96,97278787878787
97,98185858585859
98,9909292929293
100,0
